Filename,Speaker A - Primary,Speaker B - Primary,Speaker A - Secondary,Speaker B - Secondary,Speaker A - NOTES,Speaker B - NOTES 
en_5352.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND (as far back as high school),FRIEND (as far back as high school)
en_5373.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5388.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5495.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND / CHURCH/SEMINARY COLLEAGUE,FRIEND / CHURCH/SEMINARY COLLEAGUE
en_5532.txt,FRIEND,FRIEND,FRIEND,FRIEND,"FRIEND (Nun), OLDER / CHURCH MEMBER / MENTOR?","FRIEND, YOUNGER / CHURCH MEMBER"
en_5551.txt,RELATIVE,RELATIVE,SISTER,BROTHER,"SIBLING, SISTER","SIBLING, BROTHER"
en_5700.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5712.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5736.txt,RELATIVE,RELATIVE,SISTER,SISTER,"SIBLING, SISTER","SIBLING, SISTER"
en_5777.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5788.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5866.txt,RELATIVE,RELATIVE,MOTHER,DAUGHTER,MOTHER,DAUGHTER
en_5907.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5931.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6033.txt,FRIEND,FRIEND,FRIEND,FRIEND,COLLEAGUE,COLLEAGUE
en_6045.txt,RELATIVE,RELATIVE,SISTER,SISTER,SISTER,SISTER
en_6067.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6100.txt,FRIEND,FRIEND,FRIEND,FRIEND,GIRLFRIEND,BOYFRIEND
en_6107.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6252.txt,RELATIVE,RELATIVE,SISTER,SISTER,SISTER,SISTER
en_6274.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6314.txt,FRIEND,FRIEND,FRIEND,FRIEND,COLLEAGUE,COLLEAGUE
en_6861.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_0638.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4157.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4315.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4335.txt,RELATIVE,RELATIVE,SISTER,SISTER,SISTER,SISTER
en_4371.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4521.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4576.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND/SIBLING,FRIEND/SIBLING
en_4580.txt,RELATIVE,RELATIVE,DAUGHTER,MOTHER,YOUNGER RELATIVE/DAUGHTER?,OLDER RELATIVE/MOTHER?
en_4666.txt,RELATIVE,RELATIVE,DAUGHTER,MOTHER,DAUGHTER,MOTHER
en_4677.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND (?),FRIEND (?)
en_4686.txt,RELATIVE,RELATIVE,BROTHER,BROTHER,BROTHER,BROTHER
en_4808.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4822.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5208.txt,FRIEND,FRIEND,FRIEND,FRIEND,COLLEAGUE/FRIEND,COLLEAGUE/FRIEND
en_5573.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_5648.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE,FRIEND/COLLEAGUE
en_5713.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6079.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6161.txt,RELATIVE,RELATIVE,MOTHER,DAUGHTER,"PARENTS (~ MOTHER -80%, FATHER -20%)",DAUGHTER
en_6348.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/SIBLING,FRIEND/SIBLING
en_4792.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4801.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4829.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE,FRIEND/COLLEAGUE
en_5872.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/ROOMATE,FRIEND/ROOMATE
en_5888.txt,RELATIVE,RELATIVE,SISTER,BROTHER,SIBLING/SISTER,SIBLING/BROTHER
en_6047.txt,RELATIVE,RELATIVE,SISTER,BROTHER,SIBLING/SISTER,SIBLING/BROTHER
en_6071.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6179.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6265.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6298.txt,RELATIVE,RELATIVE,FATHER,SON,FATHER,SON
en_6313.txt,FRIEND,FRIEND,FRIEND,FRIEND,STUDENT(Channel1),CONSULTOR
en_6408.txt,FRIEND,FRIEND,FRIEND,FRIEND,COLLEAGUE,COLLEAGUE
en_6447.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6456.txt,FRIEND,FRIEND,FRIEND,FRIEND,COLLEAGUE/FRIEND,COLLEAGUE/FRIEND
en_6467.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6479.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6521.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6625.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6785.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_6825.txt,FRIEND,FRIEND,FRIEND,FRIEND,CLASSMATE,CLASSMATE
